Position,R1
R1_1,Novak Djokovic (SRB) [1]
R1_2,Q
R1_3,Alexei Popyrin (AUS)
R1_4,Marc Polmans (AUS) [WC]
R1_5,Yannick Hanfmann (GER)
R1_6,Gael Monfils (FRA)
R1_7,Andy Murray (GBR)
R1_8,Tomas Martin Etcheverry (ARG) [30]
R1_9,Adrian Mannarino (FRA) [20]
R1_10,Stan Wawrinka (SUI)
R1_11,Alexander Shevchenko (RUS)
R1_12,Jaume Munar (ESP)
R1_13,Christopher O'Connell (AUS)
R1_14,Cristian Garin (CHI)
R1_15,Roberto Bautista Agut (ESP)
R1_16,Ben Shelton (USA) [16]
R1_17,Taylor Fritz (USA) [12]
R1_18,Facundo Diaz Acosta (ARG)
R1_19,Roberto Carballes Baena (ESP)
R1_20,Borna Gojo (CRO)
R1_21,Fabian Marozsan (HUN)
R1_22,Marin Cilic (CRO)
R1_23,Francisco Cerundolo (ARG) [22]
R1_24,Q
R1_25,Lorenzo Musetti (ITA) [25]
R1_26,Lucca Van Assche (FRA)
R1_27,James Duckworth (AUS) [WC]
R1_28,Luca Van Assche (FRA)
R1_29,Aleksandar Vukic (AUS)
R1_30,Jordan Thompson (AUS)
R1_31,Matteo Berrettini (ITA)
R1_32,Stefanos Tsitsipas (GRE) [7]
R1_33,Jannik Sinner (ITA) [4]
R1_34,Botic van de Zandschulp (NED)
R1_35,Pedro Cachin (ARG)
R1_36,Q
R1_37,Daniel Elahi Galan (COL)
R1_38,Jason Kubler (AUS) [WC]
R1_39,J.J. Wolf (USA)
R1_40,Sebastian Baez (ARG) [26]
R1_41,Frances Tiafoe (USA) [17]
R1_42,Borna Coric (CRO)
R1_43,Tomas Machac (CZE)
R1_44,Q
R1_45,Alejandro Tabilo (CHI)
R1_46,Q
R1_47,Daniel Altmaier (GER)
R1_48,Karen Khachanov (RUS) [15]
R1_49,Alex de Minaur (AUS) [10]
R1_50,Milos Raonic (CAN)
R1_51,Matteo Arnaldi (ITA)
R1_52,Adam Walton (AUS) [WC]
R1_53,Pavel Kotov (RUS)
R1_54,Arthur Rinderknech (FRA)
R1_55,Nicolas Jarry (CHI) [18]
R1_56,Q
R1_57,Sebastian Korda (USA) [29]
R1_58,Q
R1_59,Quentin Halys (FRA)
R1_60,Q
R1_61,Christopher Eubanks (USA)
R1_62,Taro Daniel (JPN)
R1_63,Thiago Seyboth Wild (BRA)
R1_64,Andrey Rublev (RUS) [5]
R1_65,Holger Rune (DEN) [8]
R1_66,Yoshihito Nishioka (JPN)
R1_67,Laslo Djere (SRB)
R1_68,Arthur Cazaux (FRA) [WC]
R1_69,Arthur Fils (FRA)
R1_70,Jiri Vesely (CZE)
R1_71,Roman Safiullin (RUS)
R1_72,Tallon Griekspoor (NED) [28]
R1_73,Ugo Humbert (FRA) [21]
R1_74,Q
R1_75,Zhizhen Zhang (CHN)
R1_76,Federico Coria (ARG)
R1_77,Denis Shapovalov (CAN)
R1_78,Q
R1_79,Hubert Hurkacz (POL) [9]
R1_80,Q
R1_81,Grigor Dimitrov (BUL) [13]
R1_82,Marton Fucsovics (HUN)
R1_83,Sebastian Ofner (AUT)
R1_84,Thanasi Kokkinakis (AUS)
R1_85,Maximilian Marterer (GER)
R1_86,Nuno Borges (POR)
R1_87,Constant Lestienne (FRA)
R1_88,Alejandro Davidovich Fokina (ESP) [23]
R1_89,Felix Auger-Aliassime (CAN) [27]
R1_90,Dominic Thiem (AUT)
R1_91,Alexandre Muller (FRA)
R1_92,Q
R1_93,Emil Ruusuvuori (FIN)
R1_94,Q
R1_95,Daniil Medvedev (RUS) [3]
R1_96,Q
R1_97,Alexander Zverev (GER) [6]
R1_98,Dominik Koepfer (GER)
R1_99,Soonwoo Kwon (KOR)
R1_100,Q
R1_101,James McCabe (AUS) [WC]
R1_102,Alex Michelsen (USA)
R1_103,Bernabe Zapata Miralles (ESP)
R1_104,Jiri Lehecka (CZE) [32]
R1_105,Cameron Norrie (GBR) [19]
R1_106,Juan Pablo Varillas (PER)
R1_107,Dusan Lajovic (SRB)
R1_108,Q
R1_109,Max Purcell (AUS)
R1_110,Q
R1_111,Albert Ramos-Vinolas (ESP)
R1_112,Casper Ruud (NOR) [11]
R1_113,Tommy Paul (USA) [14]
R1_114,Gregoire Barrere (FRA)
R1_115,Marcos Giron (USA)
R1_116,Jack Draper (GBR)
R1_117,Miomir Kecmanovic (SRB)
R1_118,Yosuke Watanuki (JPN)
R1_119,Rinky Hijikata (AUS)
R1_120,Jan-Lennard Struff (GER) [24]
R1_121,Alexander Bublik (KAZ) [31]
R1_122,Q
R1_123,Mackenzie McDonald (USA)
R1_124,Juncheng Shang (CHN) [WC]
R1_125,Daniel Evans (GBR)
R1_126,Lorenzo Sonego (ITA)
R1_127,Richard Gasquet (FRA)
R1_128,Carlos Alcaraz (ESP) [2]