Position,R2
R2_1,Carlos Alcaraz (ESP) [1]
R2_2,Thiago Monteiro (BRA) [WC]
R2_3,Felipe Meligeni Alves (BRA) [Q]
R2_4,Pedro Cachin (ARG)
R2_5,Facundo Diaz Acosta (ARG)
R2_6,Stan Wawrinka (SUI)
R2_7,Corentin Moutet (FRA) [Q]
R2_8,Sebastian Baez (ARG) [5]
R2_9,Francisco Cerundolo (ARG) [4]
R2_10,Francisco Comesana (ARG) [Q]
R2_11,Juan Pablo Varillas (PER)
R2_12,Albert Ramos-Vinolas (ESP)
R2_13,Dusan Lajovic (SRB)
R2_14,Daniel Elahi Galan (COL)
R2_15,Bernabe Zapata Miralles (ESP)
R2_16,Laslo Djere (SRB) [6]
R2_17,Arthur Fils (FRA) [7]
R2_18,Joao Fonseca (BRA) [WC]
R2_19,Roberto Carballes Baena (ESP)
R2_20,Cristian Garin (CHI)
R2_21,Federico Coria (ARG)
R2_22,Mariano Navone (ARG) [Q]
R2_23,Yannick Hanfmann (GER)
R2_24,Nicolas Jarry (CHI) [3]
R2_25,Sebastian Ofner (AUT) [8]
R2_26,Jaume Munar (ESP)
R2_27,Alejandro Tabilo (CHI)
R2_28,Thiago Seyboth Wild (BRA)
R2_29,Gustavo Heide (BRA) [WC]
R2_30,Tomas Barrios Vera (CHI)
R2_31,Hugo Dellien (BOL)
R2_32,Cameron Norrie (GBR) [2]